gene_id,gene_symbol,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10
ENSG00000290825,Gnai3,2956.925239,4583.019379,3852.331432,3721.390533,4052.05695,3379.331185,2920.873396,3007.349426,4270.155286,2964.181306
ENSG00000223972,Cdc45,410.0919315,364.9031354,329.1442723,460.6246055,373.1668664,446.2216945,765.424022,768.3681527,302.86916,499.4353622
ENSG00000310526,H19,1132.828207,830.6671374,1043.689618,1329.184445,235.6452124,36.38080371,283.5613398,271.1887598,304.8682964,719.0386662
ENSG00000243485,Scml2,16.24126461,27.06023251,42.82234155,56.4916969,130.088051,20.78903069,16.28561749,22.59906331,40.98229558,21.31171304
ENSG00000284332,Apoh,5.075395192,0,0.839653756,0.543189393,0,5.939723054,4.789887497,0.837002345,3.998272739,4.632981097
ENSG00000227232,Narf,967.3703236,1242.310674,1057.963732,1191.214339,1274.8629,1258.107589,728.0628995,782.5971926,1123.51464,1002.577109
ENSG00000278267,Cav2,279.1467356,337.0228958,344.2580399,326.4568254,396.9543957,469.609354,159.9822424,159.0304455,296.8717509,311.3363297
ENSG00000239945,Klf6,2865.568125,2106.598101,3554.254348,1852.81902,2000.382545,1887.347001,2339.381053,2125.985956,1901.178688,2817.779103
ENSG00000241860,Scmh1,1107.451231,1283.311027,1160.401491,1146.672809,1068.952099,1337.922618,1406.310969,1450.525064,1183.488731,1130.447388
ENSG00000308314,Cox5a,2232.158805,1361.211696,2136.079155,1262.915339,1242.155047,1726.974478,2651.681718,2272.461367,1810.217983,2236.803273
ENSG00000222623,Tbx2,364.4133748,521.5244811,258.6133568,520.3754388,525.5557262,345.6176352,110.1674124,112.9953166,408.8233876,195.5118023
ENSG00000241599,Tbx4,82.22140211,83.64071867,57.09645539,92.34219686,120.4243672,141.0684225,25.86539248,39.33911021,89.96113663,46.32981097
ENSG00000308415,Ngfr,256.8149967,113.1609723,342.5787324,166.2159543,274.2999476,78.33009778,25.86539248,15.90304455,188.9183869,62.0819467
ENSG00000310527,Wnt3,69.02537461,56.58048616,89.00329812,65.18272719,22.30080875,46.77531905,43.10898747,66.9601876,60.97365927,67.64152401
ENSG00000279928,Wnt9a,24.36189692,11.48009864,22.67065141,11.40697726,23.78752933,15.59177302,3.831909997,7.533021105,7.996545479,15.75213573
ENSG00000279457,Fer,299.4483163,260.7622406,288.840892,284.0880527,312.2113225,313.6916238,230.8725773,228.5016402,288.8752054,262.2267301
ENSG00000308625,Xpo6,1287.120221,1986.877072,1563.435293,1859.880483,1700.808347,1674.630669,1556.713436,1649.731622,1470.3648,1334.298556
ENSG00000308544,Tfe3,907.4806603,1228.370555,1009.263814,1085.835597,1020.63368,941.4461041,757.760202,769.205155,1100.524571,923.8164307
ENSG00000233750,Axin2,5624.552952,7547.344849,6963.248597,8139.693058,8536.749589,6235.966742,6571.725646,7672.800497,6610.144406,4773.823722
ENSG00000308579,Brat1,405.0165363,388.6833397,383.7217664,519.28906,433.37905,439.1682733,376.4851572,385.858081,325.8592283,391.9502008
ENSG00000268903,Gna12,1468.819369,1497.332866,1255.282365,1517.127975,1456.986172,1614.862205,717.525147,754.9761152,1576.319027,1148.052716
ENSG00000269981,Slc22a18,746.0830932,819.1870387,889.1933274,677.9003628,573.1307848,812.2571277,516.3498722,442.7742405,723.6873658,861.734484
ENSG00000239906,Itgb2l,17.25634365,47.56040866,29.38788145,46.71428782,63.18562479,21.90272876,36.40314498,49.38313835,11.99481822,25.94469414
ENSG00000310528,Igsf5,463.8911206,224.6819305,383.7217664,196.6345604,222.2647272,236.8464568,380.3170672,300.4838419,261.8868644,340.9874087
ENSG00000273874,Pih1d2,71.05553269,36.08031001,43.6619953,35.85049996,33.45121312,38.23696716,39.27707747,37.66510552,45.9801365,41.69682987
ENSG00000292994,Dlat,1249.562296,1581.793591,1539.924988,1456.833953,1464.419775,1688.737511,1847.938596,1957.748485,1556.327664,1486.260336
ENSG00000306775,Sdhd,3151.820414,1845.015853,3073.132746,2047.280823,1924.559795,3195.571003,4202.64729,4088.756455,2663.849213,3395.048548
ENSG00000286448,Ccnd2,6472.143949,4219.756258,4643.28527,3800.696185,4106.322251,2795.382163,6772.90092,6621.525551,4209.181626,3155.986723
ENSG00000236601,Gpr107,1157.190104,1595.733711,1121.777418,1330.270824,1368.526297,1283.722645,720.3990795,801.8482465,1347.417913,1163.804851
ENSG00000290385,Nalcn,1.015079038,0.820007046,0,2.715946966,3.716801458,2.598628836,2.873932498,3.34800938,0,2.779788658
ENSG00000269732,Btbd17,191.8499383,196.801691,146.0997535,173.2774165,144.2118966,97.26296502,58.43662746,50.2201407,199.913637,199.2181872
ENSG00000284733,Slfn4,655.7410588,3314.468479,859.8054459,1319.407036,1663.640333,1480.104739,307.5107773,323.0829052,1511.347095,1153.612293
ENSG00000278757,Th,10.15079038,8.200070458,6.717230046,5.975083326,14.86720583,8.1671192,4.789887497,10.04402814,8.996113663,10.19255841
ENSG00000228463,Scnn1g,23.34681788,21.32018319,27.70857394,30.41860602,8.9203235,19.30409993,42.15100997,55.24215477,24.98920462,38.91704121
ENSG00000236679,Drp2,26.392055,48.3804157,20.15169014,61.92359083,60.21218362,55.68490364,22.99145998,24.273068,49.97840924,21.31171304
ENSG00000237094,Tspan32,139.0658283,140.2212048,206.5548239,298.7541663,231.928411,146.6369129,32.57123498,31.80608911,135.9412731,126.9436821
ENSG00000233653,Lhx2,6.09047423,4.920042275,1.679307512,7.604651506,2.230080875,10.76574804,7.663819995,5.02201407,7.996545479,0
ENSG00000250575,Clec2g,0,3.280028183,4.198268779,0.543189393,0.743360292,2.598628836,0.957977499,3.34800938,4.997840924,2.779788658
ENSG00000187583,Gmpr,846.575918,355.0630508,703.6298474,589.9036811,522.582285,687.5229436,729.9788545,723.1700261,777.6640478,797.7993449
ENSG00000187642,Mid2,437.4990656,701.9260312,446.6957981,636.0747795,596.9183142,524.1805596,255.7799923,267.0037481,537.7676834,384.537431
ENSG00000272438,Trim25,1193.732949,2309.959848,1124.296379,1786.006725,1664.383693,1376.159585,866.9696369,1002.728809,1519.343641,1322.252805
ENSG00000223764,Dgke,195.9102544,277.1623815,218.3099765,250.9534997,292.8839549,174.108132,223.2087574,238.5456683,207.9101824,154.7415686
ENSG00000187634,Scpep1,1087.14965,1263.630858,1244.366866,1212.941915,1131.394364,1455.232148,675.374137,660.3948502,1097.525867,1175.850602
ENSG00000188976,Mnt,754.2037255,1480.112718,914.3829401,1325.925309,1237.694886,1044.27756,907.2046919,996.8697929,1028.555662,719.9652624
ENSG00000187961,Itgb2,729.8418286,900.3677363,801.8693368,1529.621331,906.8995558,912.4899542,153.2763999,165.7264643,929.5984119,1027.595207
ENSG00000298603,Hddc2,476.072069,214.021839,366.0890375,218.3621361,231.928411,290.3039643,619.8114421,520.6154586,323.8600919,409.5555289
ENSG00000293331,Tpd52l1,131.960275,89.38076799,140.2221772,75.50332566,85.48643354,39.72189793,110.1674124,112.9953166,78.9658866,131.5766631
ENSG00000225880,Pemt,64.96505846,30.34026069,80.60676056,55.40531811,42.37153662,64.22325553,127.4110074,103.7882908,60.97365927,80.61387108
