gene_id,gene_symbol,gene_biotype,chr,start,end,strand,Sample1_dedup,Sample2_dedup,Sample3_dedup,Sample4_dedup,Sample5_dedup,Sample6_dedup,Sample7_dedup,Sample8_dedup,Sample9_dedup,Sample10_dedup
ENSG00000290825,Gnai3,lncRNA,1,11121,24894,+,2913,5589,4588,6851,5451,9103,3049,3593,4272,3199
ENSG00000223972,Cdc45,transcribed_unprocessed_pseudogene,1,12010,13670,+,404,445,392,848,502,1202,799,918,303,539
ENSG00000310526,H19,lncRNA,1,14356,30744,-,1116,1013,1243,2447,317,98,296,324,305,776
ENSG00000243485,Scml2,lncRNA,1,28589,31109,+,16,33,51,104,175,56,17,27,41,23
ENSG00000284332,Apoh,miRNA,1,30366,30503,+,5,0,1,1,0,16,5,1,4,5
ENSG00000227232,Narf,transcribed_unprocessed_pseudogene,1,14696,24886,-,953,1515,1260,2193,1715,3389,760,935,1124,1082
ENSG00000278267,Cav2,miRNA,1,17369,17436,-,275,411,410,601,534,1265,167,190,297,336
ENSG00000239945,Klf6,lncRNA,1,89551,91105,-,2823,2569,4233,3411,2691,5084,2442,2540,1902,3041
ENSG00000241860,Scmh1,lncRNA,1,89295,181719,-,1091,1565,1382,2111,1438,3604,1468,1733,1184,1220
ENSG00000308314,Cox5a,lncRNA,1,96638,105742,+,2199,1660,2544,2325,1671,4652,2768,2715,1811,2414
ENSG00000222623,Tbx2,snRNA,1,157784,157887,-,359,636,308,958,707,931,115,135,409,211
ENSG00000241599,Tbx4,lncRNA,1,160446,161525,+,81,102,68,170,162,380,27,47,90,50
ENSG00000308415,Ngfr,lncRNA,1,180931,184937,+,253,138,408,306,369,211,27,19,189,67
ENSG00000310527,Wnt3,lncRNA,1,182146,201244,-,68,69,106,120,30,126,45,80,61,73
ENSG00000279928,Wnt9a,transcribed_unprocessed_pseudogene,1,182696,184174,+,24,14,27,21,32,42,4,9,8,17
ENSG00000279457,Fer,transcribed_unprocessed_pseudogene,1,185217,195411,-,295,318,344,523,420,845,241,273,289,283
ENSG00000308625,Xpo6,lncRNA,1,199108,199882,+,1268,2423,1862,3424,2288,4511,1625,1971,1471,1440
ENSG00000308544,Tfe3,lncRNA,1,199948,201629,+,894,1498,1202,1999,1373,2536,791,919,1101,997
ENSG00000233750,Axin2,processed_pseudogene,1,131025,134836,+,5541,9204,8293,14985,11484,16798,6860,9167,6613,5152
ENSG00000308579,Brat1,lncRNA,1,134914,136246,-,399,474,457,956,583,1183,393,461,326,423
ENSG00000268903,Gna12,transcribed_processed_pseudogene,1,135141,135895,-,1447,1826,1495,2793,1960,4350,749,902,1577,1239
ENSG00000269981,Slc22a18,transcribed_processed_pseudogene,1,137682,137965,-,735,999,1059,1248,771,2188,539,529,724,930
ENSG00000239906,Itgb2l,lncRNA,1,139790,140339,-,17,58,35,86,85,59,38,59,12,28
ENSG00000310528,Igsf5,lncRNA,1,146386,199861,-,457,274,457,362,299,638,397,359,262,368
ENSG00000273874,Pih1d2,miRNA,1,187891,187958,-,70,44,52,66,45,103,41,45,46,45
ENSG00000292994,Dlat,lncRNA,1,257864,359681,-,1231,1929,1834,2682,1970,4549,1929,2339,1557,1604
ENSG00000306775,Sdhd,lncRNA,1,258696,266103,+,3105,2250,3660,3769,2589,8608,4387,4885,2665,3664
ENSG00000286448,Ccnd2,lncRNA,1,266753,284291,+,6376,5146,5530,6997,5524,7530,7070,7911,4211,3406
ENSG00000236601,Gpr107,lncRNA,1,356138,366052,+,1140,1946,1336,2449,1841,3458,752,958,1348,1256
ENSG00000290385,Nalcn,lncRNA,1,365127,532459,-,1,1,0,5,5,7,3,4,0,3
ENSG00000269732,Btbd17,processed_pseudogene,1,439870,440232,+,189,240,174,319,194,262,61,60,200,215
ENSG00000284733,Slfn4,protein_coding,1,450740,451678,-,646,4042,1024,2429,2238,3987,321,386,1512,1245
ENSG00000278757,Th,snRNA,1,516376,516479,-,10,10,8,11,20,22,5,12,9,11
ENSG00000228463,Scnn1g,transcribed_processed_pseudogene,1,258568,259024,-,23,26,33,56,12,52,44,66,25,42
ENSG00000236679,Drp2,transcribed_processed_pseudogene,1,347982,348366,-,26,59,24,114,81,150,24,29,50,23
ENSG00000237094,Tspan32,transcribed_unprocessed_pseudogene,1,485026,485208,-,137,171,246,550,312,395,34,38,136,137
ENSG00000233653,Lhx2,transcribed_processed_pseudogene,1,487101,489906,+,6,6,2,14,3,29,8,6,8,0
ENSG00000250575,Clec2g,unprocessed_pseudogene,1,491225,493241,-,0,4,5,1,1,7,1,4,5,3
ENSG00000187583,Gmpr,protein_coding,1,966437,975865,+,834,433,838,1086,703,1852,762,864,778,861
ENSG00000187642,Mid2,protein_coding,1,975194,982134,-,431,856,532,1171,803,1412,267,319,538,415
ENSG00000272438,Trim25,lncRNA,1,904786,921034,+,1176,2817,1339,3288,2239,3707,905,1198,1520,1427
ENSG00000223764,Dgke,lncRNA,1,916865,925614,-,193,338,260,462,394,469,233,285,208,167
ENSG00000187634,Scpep1,protein_coding,1,923923,944575,+,1071,1541,1482,2233,1522,3920,705,789,1098,1269
ENSG00000188976,Mnt,protein_coding,1,943527,960714,-,743,1805,1089,2441,1665,2813,947,1191,1029,777
ENSG00000187961,Itgb2,protein_coding,1,960576,965719,+,719,1098,955,2816,1220,2458,160,198,930,1109
ENSG00000298603,Hddc2,lncRNA,1,908073,910592,-,469,261,436,402,312,782,647,622,324,442
ENSG00000293331,Tpd52l1,lncRNA,1,586054,633129,-,130,109,167,139,115,107,115,135,79,142
ENSG00000225880,Pemt,lncRNA,1,586945,827989,-,64,37,96,102,57,173,133,124,61,87
ENSG00000235146,Cdh1,lncRNA,1,587577,595116,+,7839,24860,14172,27744,15486,36167,12180,14807,13525,15297
ENSG00000278791,Cdh4,miRNA,1,632325,632413,-,17,19,10,20,16,56,15,13,9,9
ENSG00000268663,Ckmt1,processed_pseudogene,1,674842,675265,+,2592,5513,4370,5970,2454,12226,9405,9965,3060,8371
ENSG00000284662,Bcl6b,protein_coding,1,685716,686654,-,69,149,89,158,147,397,98,76,63,90
